RecID,ProductTypeRecID,Code,Name,NameAR,Remarks,StatusRecID,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
1,2,1,Apples,????,,1,Admin,NULL,NULL,NULL
2,2,2,Avocados,???????,,1,Admin,NULL,NULL,NULL
3,2,3,Bananas,???,,1,Admin,NULL,NULL,NULL
4,2,4,Berries & Cherries,??? ????,,1,Admin,NULL,NULL,NULL
5,2,5,Citrus,??????,,1,Admin,NULL,NULL,NULL
6,2,6,Grapes,???,,1,Admin,NULL,NULL,NULL
7,2,7,Melons,????,,1,Admin,NULL,NULL,NULL
8,2,8,Pears,????,,1,Admin,NULL,NULL,NULL
9,2,9,Pre-Cut,???? ?????,,1,Admin,NULL,NULL,NULL
10,2,10,Nectarines & Apricots,?????? ???????,,1,Admin,NULL,NULL,NULL
11,2,11,Peaches & Plums,??? ??????,,1,Admin,NULL,NULL,NULL
12,2,12,Snack Packs,??? ????? ?????,,1,Admin,NULL,NULL,NULL
13,2,13,Tropical Specialty,????? ????????,,1,Admin,NULL,NULL,NULL
14,3,14,Asparagus & Artichokes,????? ??????,,1,Admin,NULL,NULL,NULL
15,3,15,Beans & Peas,??????? ??????????,,1,Admin,NULL,NULL,NULL
16,3,16,Broccoli & Cauliflower,?????? ?????????,,1,Admin,NULL,NULL,NULL
17,3,17,Brussels Sprouts & Cabbage,???? ?????,,1,Admin,NULL,NULL,NULL
18,3,18,Carrots,???,,1,Admin,NULL,NULL,NULL
19,3,19,Celery,????,,1,Admin,NULL,NULL,NULL
20,3,20,Corn,???,,1,Admin,NULL,NULL,NULL
21,3,21,Cucumbers,????,,1,Admin,NULL,NULL,NULL
22,3,22,Eggplant,???????,,1,Admin,NULL,NULL,NULL
23,3,23,Fresh Herbs,????? ?????,,1,Admin,NULL,NULL,NULL
24,3,24,Green Salads,???? ?????,,1,Admin,NULL,NULL,NULL
25,3,25,International,?????,,1,Admin,NULL,NULL,NULL
26,3,26,Lettuce,??,,1,Admin,NULL,NULL,NULL
27,3,27,Local Farm Share,????? ?????,,1,Admin,NULL,NULL,NULL
28,3,28,Mushrooms,???,,1,Admin,NULL,NULL,NULL
29,3,29,Onions & Garlic,??? ????,,1,Admin,NULL,NULL,NULL
30,3,30,Packaged Salads & Greens,???? ????? ?????,,1,Admin,NULL,NULL,NULL
31,3,31,Peppers,????,,1,Admin,NULL,NULL,NULL
32,3,32,Potatoes & Yams,????? ,,1,Admin,NULL,NULL,NULL
33,3,33,Pre-Cut,???? ?????,,1,Admin,NULL,NULL,NULL
34,3,34,Root Vegetables,?????? ?????,,1,Admin,NULL,NULL,NULL
35,3,35,Snack Packs,??? ????? ?????,,1,Admin,NULL,NULL,NULL
36,3,36,Other,???,,1,Admin,NULL,NULL,NULL
37,3,37,"Spinach, Kale & Greens","???????? ?????? ??????",,1,Admin,NULL,NULL,NULL
38,3,38,Sprout & Microgreens,????? ???? ???????? ????,,1,Admin,NULL,NULL,NULL
39,3,39,Squash & Zucchini,????? ???????,,1,Admin,NULL,NULL,NULL
40,3,40,Tomatoes,?????,,1,Admin,NULL,NULL,NULL
41,3,41,Wild & Foraged,????? ??????,,1,Admin,NULL,NULL,NULL
42,4,42,Beef,???,,1,Admin,NULL,NULL,NULL
43,4,43,Lamb,??? ?????,,1,Admin,NULL,NULL,NULL
44,4,44,Veal & Specialty,??? ????? ??????,,1,Admin,NULL,NULL,NULL
45,4,45,"Ground, Burgers & Sausage","??? , ???? ??????",,1,Admin,NULL,NULL,NULL
46,4,46,Prepped,????,,1,Admin,NULL,NULL,NULL
47,4,47,Pre-Cut,???? ?????,,1,Admin,NULL,NULL,NULL
48,5,48,Chicken,????,,1,Admin,NULL,NULL,NULL
49,5,49,Duck & Specialty ,??? ??????,,1,Admin,NULL,NULL,NULL
50,5,50,Turkey,??? ????,,1,Admin,NULL,NULL,NULL
51,6,51,Crab,??????,,1,Admin,NULL,NULL,NULL
52,6,52,Fish Fillets,????? ??????,,1,Admin,NULL,NULL,NULL
53,6,53,Fish Steaks,????? ?????,,1,Admin,NULL,NULL,NULL
