RecID,UPCTypeRecID,UPC,ParentUPC,EAN,ISBN,SKU,MPN,Name,NameAR,VariantName,VariantNameAR,ProductFamily,Description,DescriptionAR,Ingredient,IngredientAR,ProductTag,ProductTagAR,ProductNutritionRecID,ProductVariantTypeRecID,ProductUnitMeasureRecID,ProductQuantityPerUnitType,ProductUnitTypeRecID,ProductPackageTypeRecID,ProductManufacturerRecID,CostPrice,ProfitMargin,DiscountPercentageWholesale,DiscountPercentageRetail,DiscountDeadlineWholesale,DiscountDeadlineRetail,WholesalePrice,RetailPrice,PackageWeight,PackageUnitFactorRecID,PackageDimensionRecID,PackageDimensionL,PackageDimensionW,PackageDimensionH,Purchasable,Sellable,Expirable,ProductGroupRecID,ProductTypeRecID,ProductCategoryRecID,ProductSubCategoryRecID,ProductBrandRecID,ProductNatureRecID,TemperatureMinimum,TemperatureMaximum,ProductStorageTypeRecID,ShelfLifeDurationTypeRecID,ShelfLife,ShelfLifeDay,ProductCountryRecID,ReorderPoint,ReorderLevel,PurchasableQuantityMinimum,SalableQuantityMaximum,Image,ImageSize,StatusRecID,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
1,2,8716200200899,,,,1000001,,Evaporated Milk,???? ????,397,???,,"Rainbow, Evaporated Milk (397 ML * 48 Can)","??? ???, ???? ???? (??? ?? * ?? ????)",,,"evaporated milk, abu qooss",??? ???,,0,24,48,4,8,0,0,0,0,0,NULL,NULL,310,320,19,4,0,0,0,0,Y,Y,Y,1,11,107,192,1227,0,,,1,4,1,NULL,2,0,0,0,0,,,1,21480,2021/6/20,31100,2021/7/11
2,2,8716200200905,1,,,1000002,,Evaporated Milk,???? ????,397,397,NULL,,,,,"evaporated milk, abu qooss",??? ???,,0,24,1,4,4,0,5.687,0,0,0,NULL,NULL,6,6,397,3,0,0,0,0,N,Y,Y,1,11,107,192,1227,0,,,1,4,1,NULL,2,0,0,0,0,,,1,21480,2021/6/20,55555,2021/6/27
3,2,6287009241939,,,,1000003,,White Plastic Big Spoon ,????? ???? ??????? ????,50,50,,"Al-Oula, White Plastic Big Spoon  (50 PC * 20 Bag)","??????, ????? ???? ??????? ???? (50 ??? * 20 ???)",,,"Plastic spons, spoons, ",,,0,28,20,1,8,163,150,0,0,0,NULL,NULL,26,26,0,0,0,0,0,0,Y,Y,N,2,14,159,0,1644,0,,,1,0,,NULL,191,0,0,0,0,,,1,55555,2021/6/30,55555,2021/6/30
4,2,6287006640070,,,,1000004,,White Plastic Big Spoon ,????? ???? ??????? ????,50,??,3,"Al-Oula, White Plastic Big Spoon  (50 PC * Bag)","??????, ????? ???? ??????? ???? (50 ??? * ???)",,,"Plastic spons, spoons, ",,,0,28,1,1,1,0,1.15,0,0,0,NULL,NULL,2,2,0,0,0,0,0,0,N,Y,N,2,14,159,0,1644,0,,,1,0,,NULL,191,0,0,0,0,,,1,55555,2021/6/30,55555,2021/7/2
5,2,6281142007995,,,,1000005,,Dishwash lemon jumbo size , ????? ?????? ????? ???? ???????,20,20,,"Mobi, Dishwash lemon jumbo size  (20 LI * Gallon)",",  ????? ?????? ????? ???? ??????? (20 ? * ?????)",,,,,,0,22,1,9,10,120,10,0,0,0,NULL,NULL,100,110,0,0,0,0,0,0,Y,Y,Y,2,14,155,0,1020,0,,,1,4,3,NULL,191,0,0,0,0,,,1,55555,2021/6/30,55555,2021/6/30
6,2,6281189002557,,,,1000006,,Microwave containers rectangle with lid,????? ???????? ?????? ?? ????,50,??,,"Cosmoplast, Microwave containers rectangle with lid (50 PC * 4 Bag)",", ????? ???????? ?????? ?? ???? (50 ??? * 4 ???)",,,,,,0,28,4,1,8,0,0,0,0,0,NULL,NULL,50,60,0,0,0,0,0,0,Y,Y,N,2,14,159,0,418,0,,,1,0,,NULL,191,0,0,0,0,,,1,55555,2021/6/30,55555,2021/7/2
7,1,1000007,,,,1000007,,Microwave containers rectangle with lid,????? ???????? ?????? ?? ????,50,50,6,"Cosmoplast, Microwave containers rectangle with lid (50 PC * Bag)",", ????? ???????? ?????? ?? ???? (50 ??? * ???)",,,,,,0,28,1,1,1,167,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,N,Y,N,2,14,159,0,418,0,,,1,0,,NULL,191,0,0,0,0,,,1,55555,2021/6/30,21480,2021/6/30
8,2,8716200312400,,,,1000008,,Evaporated Milk Portion Cup, ???? ???? ?????,10*14,??*??,,"Rainbow, Evaporated Milk Portion Cup (10*14 MM * 50 Bag)","??? ???,  ???? ???? ????? (??*?? ??? * ?? ???)",,,,,,0,25,50,1,8,0,0,0,0,0,NULL,NULL,0,0,0,0,4,0,0,0,Y,Y,Y,1,11,107,192,1227,0,,,1,0,1,NULL,2,0,0,0,0,Carton_portion_cup.jpg,,1,21480,2021/6/30,55555,2021/7/11
9,1,1000009,,,,1000009,,Evaporated Milk Portion Cup,???? ???? ?????,14,??,,"Rainbow, Evaporated Milk Portion Cup (14 ML * 10 Piece)","??? ???, ???? ???? ????? (?? ?? * ?? ???)",,,,,,0,24,10,12,1,0,0,0,0,0,NULL,NULL,0,0,0,0,4,0,0,0,N,Y,Y,1,11,107,192,1227,0,,,2,0,1,NULL,2,0,0,0,0,image3.png,,1,21480,2021/6/30,31100,2021/7/11
10,2,8716200623650,,,,1000010,,Evaporated Milk Boofia,???? ???? ?????,405,???,,"Rainbow, Evaporated Milk Boofia (405 ML * 48 Can)","??? ???, ???? ???? ????? (??? ?? * ?? ????)",,,,,,0,24,48,4,8,206,0,0,0,0,NULL,NULL,90,100,0,0,0,0,0,0,Y,Y,Y,1,11,107,192,1227,0,,,1,0,1,NULL,0,0,0,0,0,Boofia.jpg,,1,21480,2021/7/1,55555,2021/7/1
11,2,8716200672542,,,,1000011,,Evaporated Milk Boofia,???? ???? ?????,405,405,10,"Rainbow, Evaporated Milk Boofia (405 ML * Can)","??? ???, ???? ???? ????? (405 ?? * ????)",,,,,,0,24,1,4,4,35,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,N,Y,Y,1,11,107,192,1227,0,,,2,0,1,NULL,0,0,0,0,0,boofia_can.jpg,17728,1,21480,2021/7/1,31100,2021/7/11
12,2,5352101168239,,,,1000012,,Baking Powder,????? ?????,110,110,,"Foster Clarks, Baking Powder (110 GM * 72 Can)",", ????? ????? (110 ? * 72 ????)",,,,,,0,16,72,4,8,0,0,0,0,0,NULL,NULL,150,180,0,0,0,0,0,0,Y,Y,Y,1,11,114,241,623,0,,,1,0,3,NULL,151,0,0,0,0,carton.jpg,37732,1,21480,2021/7/1,31100,2021/7/11
13,2,5352101825736,,,,1000013,,Baking Powder,????? ?????,110,???,,"Foster Clarks, Baking Powder (110 GM * 12 Can)",", ????? ????? (110 ? * 12 ????)",,,,,,0,16,12,4,1,35,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,N,Y,Y,1,11,114,241,623,0,,,1,4,3,NULL,151,0,0,0,0,5352101825736.jpg,48187,1,21480,2021/7/1,55555,2021/7/3
